tAB	nAB	tAC	nAC	tBC	nBC	ChA	ChB
0.00	0.00	0.00	0.00	0.00	0.00	14086129.00	13960746.00
0.00	0.00	0.00	0.00	0.00	0.00	14142465.00	14057230.00
0.00	0.00	0.00	0.00	0.00	0.00	14145347.00	14166027.00
0.00	0.00	0.00	0.00	0.00	0.00	14163893.00	14177406.00
0.00	0.00	0.00	0.00	0.00	0.00	14166371.00	14194319.00
0.00	0.00	0.00	0.00	0.00	0.00	14182452.00	14267599.00
0.00	0.00	0.00	0.00	0.00	0.00	14221659.00	14845440.00
0.00	0.00	0.00	0.00	0.00	0.00	14246874.00	14847805.00
0.00	0.00	0.00	0.00	0.00	0.00	14302752.00	14920276.00
0.00	0.00	0.00	0.00	0.00	0.00	14431860.00	15077078.00
0.00	0.00	0.00	0.00	0.00	0.00	14583558.00	15086229.00
0.00	0.00	0.00	0.00	0.00	0.00	14767926.00	15122950.00
0.00	0.00	0.00	0.00	0.00	0.00	14773275.00	15159131.00
0.00	0.00	0.00	0.00	0.00	0.00	14818611.00	15211118.00
0.00	0.00	0.00	0.00	0.00	0.00	14831184.00	15348726.00
0.00	0.00	0.00	0.00	0.00	0.00	14905377.00	15455457.00
0.00	0.00	0.00	0.00	0.00	0.00	15049086.00	15928342.00
0.00	0.00	0.00	0.00	0.00	0.00	15072630.00	16240152.00
0.00	0.00	0.00	0.00	0.00	0.00	15114708.00	16295464.00
0.00	0.00	0.00	0.00	0.00	0.00	15134783.00	16396485.00
0.00	0.00	0.00	0.00	0.00	0.00	15157365.00	16522964.00
0.00	0.00	0.00	0.00	0.00	0.00	15311453.00	16545418.00
0.00	0.00	0.00	0.00	0.00	0.00	15356894.00	16571264.00
0.00	0.00	0.00	0.00	0.00	0.00	15545792.00	16608358.00
0.00	0.00	0.00	0.00	0.00	0.00	15672226.00	16611006.00
0.00	0.00	0.00	0.00	0.00	0.00	15852456.00	16673716.00
0.00	0.00	0.00	0.00	0.00	0.00	15913323.00	16778522.00
0.00	0.00	0.00	0.00	0.00	0.00	15928657.00	16850150.00
0.00	0.00	0.00	0.00	0.00	0.00	16020448.00	16904875.00
0.00	0.00	0.00	0.00	0.00	0.00	16218857.00	16922253.00
0.00	0.00	0.00	0.00	0.00	0.00	16230316.00	16932936.00
0.00	0.00	0.00	0.00	0.00	0.00	16375697.00	17061311.00
0.00	0.00	0.00	0.00	0.00	0.00	16492787.00	17214994.00
0.00	0.00	0.00	0.00	0.00	0.00	16676434.00	17254566.00
