	chA	chB
449344	38917318485	33265685385
870185	75449717063	64100704157
1558764	0	114567619765
774382	67001562003	57284007188
982554	85028924619	72641648069
1668332	0	122739266839
1150688	99693498511	84770475921
204687	17832081874	15151990164
1144561	99163969567	84336722852
1375428	118957442066	101479442691
1200941	104000438200	88367199073
1179081	102160641152	86793448792
214384	18653459727	15844118923
597752	51790460372	44024823022
1352950	116996651618	99856249316
725629	62761201873	53824700087
1569417	0	115359522840
885014	76745639920	65217139748
737043	63754917803	54635409521
866484	75142194610	63833970904
290071	25198466408	21347866391
116103	10265759683	8790779597
1134089	98242531882	83599637242
271210	23543387676	19954513870
497194	43001401035	36680364317
586544	50820188288	43173591789
135723	11921003427	10276092932
22796	1984551721	1647422734
430055	37274758009	31914401540
1593409	0	117119337218
714957	61848249793	53060408990
142128	12457557951	10736964142
1372559	118702116332	101271793429
797291	69021634855	58914037774
1395603	120731322421	102914023510
864700	74981139796	63705656630
360737	31358449407	26815193340
529054	45826498517	38966410581
106334	9416309520	8030283447
1097288	94936516129	81014100216
969166	83903789738	71612769644
918592	79588471617	67744232231
1490482	0	109703761481
192782	16828336130	14286834267
537599	46576128565	39583683503
455100	39406655534	33677035196
1074806	92928811298	79406875298
43016	3751496759	3171045079
179573	15699621712	13350894673
966207	83663146961	71392673307
1240462	107420060027	91296283615
547292	47418717199	40280481312
1125135	97444806293	82973825633
538769	46680117557	39667681556
1325206	114589162002	97800020578
561460	48664232812	41320534081
208681	18171189639	15442802586
545635	47269144605	40157850172
133277	11713207143	10099787564
1496473	0	110121188503
176576	15434812100	13140578651
472172	40856666858	34875879001
1656445	0	121841043085
202368	17640874073	14978281165
823817	71384357242	60791969743
785860	68023922461	58103814565
114872	10162664094	8695267981
1650199	0	121371008644
189879	16581804019	14089022645
831428	72066272917	61317839922
1553073	0	114160501188
4179	372656978	305951371
1352657	116967511532	99839958347
1712706	0	126088995645
1239110	107309091555	91190207279
1069525	92455562020	79024159957
509968	44151365252	37594119839
650427	56344278523	48159108704
1146194	99297097478	84452607612
362406	31496953237	26948715111
225446	19587455253	16626939141
592400	51322315663	43619796837
468114	40518050121	34582201931
1021920	88355336030	75597564788
897441	77797083410	66131268361
1475972	0	108673717361
1295511	112034180683	95510067902
938327	81283400752	69262734815
923858	80043646079	68148098579
961992	83302957204	71070435032
883132	76582451815	65070648215
1243716	107696701108	91548622920
1570701	0	115450140727
468956	40588206478	34648704818
1110164	96086893240	81926869434
772656	66853257130	57169035599
605662	52470620555	44649261962
1200443	103963651623	88322416281
1137194	98510747627	83814372801
1501975	0	110511112184
1076182	93045560948	79508132723
1233993	106848996618	90801031381
387388	33620004135	28871681339
